FSASSET,FSSLTDE2,RAWERND,SHELDED,FSNONCIT,CERTHHSZ,WRK_POOR,FSERNDED,FSNETINC,FSERNDE2,FSUSIZE,FSSSI,TANF_IND,REALPROP,LIQRESOR,FSWAGES,FSCSEXP,FSSTDDE2,FSDIS,FSSLTDED,TPOV,FSNK0T4,FSTOTDED,FSOTHUN,FSUNEARN,FSGA,FSEARN,FSTANF,RAWNET,FSNELDER,CAT_ELIG,FSVEHAST,VEHICLEA
194.0,175.0,125.0,175.0,0.0,4.0,1.0,125.0,187.0,188.0,4.0,0.0,0.0,0.0,194.0,626.0,0.0,209.0,0.0,175.0,38.0,3.0,439.0,0.0,0.0,0.0,626.0,0.0,187.0,0.0,2.0,0.0,0.0
0.0,61.0,215.0,61.0,0.0,4.0,1.0,215.0,781.0,276.0,4.0,0.0,0.0,0.0,0.0,1075.0,0.0,200.0,0.0,61.0,75.0,1.0,462.0,0.0,168.0,0.0,1075.0,0.0,781.0,0.0,2.0,0.0,0.0
0.0,0.0,171.0,0.0,0.0,3.0,1.0,170.0,1242.0,170.0,3.0,0.0,0.0,0.0,0.0,854.0,0.0,134.0,1.0,0.0,112.0,0.0,304.0,0.0,692.0,0.0,854.0,0.0,1241.0,0.0,2.0,0.0,0.0
0.0,130.0,0.0,130.0,0.0,1.0,0.0,0.0,393.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,130.0,80.0,0.0,264.0,87.0,657.0,0.0,0.0,0.0,393.0,1.0,2.0,0.0,0.0
0.0,261.0,120.0,417.0,0.0,6.0,1.0,120.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,602.0,0.0,30.0,0.0,417.0,27.0,1.0,758.0,0.0,0.0,0.0,602.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,13.0,0.0,417.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,13.0,0.0,551.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,790.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,84.0,0.0,134.0,0.0,924.0,0.0,0.0,0.0,790.0,2.0,1.0,0.0,0.0
267.0,92.0,0.0,92.0,0.0,3.0,0.0,0.0,188.0,0.0,3.0,0.0,0.0,0.0,267.0,0.0,0.0,201.0,0.0,92.0,30.0,0.0,226.0,0.0,414.0,0.0,0.0,0.0,188.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,255.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,28.0,1.0,134.0,0.0,389.0,0.0,0.0,389.0,255.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,5.0,0.0,134.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,173.0,203.0,173.0,0.0,2.0,1.0,202.0,735.0,303.0,2.0,0.0,0.0,0.0,0.0,1013.0,0.0,201.0,0.0,173.0,113.0,0.0,509.0,0.0,231.0,231.0,1013.0,0.0,734.0,1.0,2.0,0.0,0.0
0.0,413.0,0.0,463.0,0.0,1.0,0.0,0.0,56.0,0.0,1.0,603.0,0.0,0.0,0.0,0.0,0.0,201.0,1.0,413.0,74.0,0.0,547.0,0.0,603.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,747.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,1.0,0.0,108.0,0.0,134.0,0.0,881.0,0.0,0.0,0.0,747.0,0.0,2.0,0.0,0.0
0.0,198.0,0.0,198.0,0.0,1.0,0.0,0.0,537.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,198.0,113.0,0.0,386.0,0.0,923.0,0.0,0.0,0.0,536.0,1.0,2.0,0.0,0.0
0.0,129.0,0.0,129.0,0.0,2.0,0.0,0.0,677.0,0.0,2.0,156.0,1.0,0.0,0.0,0.0,0.0,201.0,1.0,129.0,85.0,0.0,263.0,0.0,940.0,0.0,0.0,231.0,677.0,0.0,1.0,0.0,0.0
0.0,119.0,0.0,119.0,0.0,2.0,0.0,0.0,370.0,0.0,2.0,247.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,119.0,57.0,0.0,253.0,0.0,623.0,0.0,0.0,0.0,370.0,1.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,97.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,28.0,0.0,134.0,0.0,231.0,231.0,0.0,0.0,97.0,0.0,1.0,0.0,0.0
210.0,0.0,325.0,0.0,0.0,3.0,1.0,325.0,1166.0,325.0,3.0,0.0,0.0,0.0,210.0,1625.0,0.0,134.0,0.0,0.0,117.0,0.0,459.0,0.0,0.0,0.0,1625.0,0.0,1166.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,97.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,28.0,0.0,134.0,0.0,231.0,231.0,0.0,0.0,97.0,0.0,1.0,0.0,0.0
0.0,250.0,0.0,250.0,1.0,7.0,0.0,0.0,714.0,0.0,7.0,523.0,1.0,0.0,0.0,0.0,0.0,279.0,1.0,250.0,46.0,0.0,436.0,0.0,1150.0,0.0,0.0,294.0,714.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,9.0,0.0,134.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2.0,337.0,0.0,337.0,0.0,1.0,0.0,0.0,152.0,0.0,1.0,25.0,0.0,0.0,2.0,0.0,0.0,201.0,1.0,337.0,76.0,0.0,471.0,0.0,623.0,0.0,0.0,0.0,151.0,0.0,1.0,0.0,0.0
0.0,417.0,246.0,417.0,0.0,5.0,1.0,246.0,647.0,274.0,5.0,0.0,1.0,0.0,0.0,1231.0,0.0,162.0,0.0,417.0,80.0,2.0,910.0,0.0,326.0,0.0,1231.0,326.0,647.0,0.0,1.0,0.0,0.0
0.0,97.0,0.0,417.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,28.0,0.0,551.0,0.0,231.0,0.0,0.0,231.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,97.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,28.0,0.0,134.0,0.0,231.0,231.0,0.0,0.0,97.0,0.0,1.0,0.0,0.0
0.0,0.0,260.0,0.0,0.0,4.0,1.0,259.0,898.0,259.0,4.0,0.0,0.0,0.0,0.0,1296.0,0.0,139.0,0.0,0.0,78.0,1.0,398.0,0.0,0.0,0.0,1296.0,0.0,900.0,0.0,2.0,0.0,0.0
0.0,349.0,0.0,348.0,0.0,1.0,0.0,0.0,267.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,349.0,92.0,0.0,483.0,0.0,750.0,0.0,0.0,0.0,268.0,0.0,2.0,0.0,0.0
0.0,64.0,0.0,65.0,0.0,1.0,0.0,0.0,405.0,0.0,1.0,603.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,64.0,74.0,0.0,198.0,0.0,603.0,0.0,0.0,0.0,405.0,1.0,1.0,0.0,0.0
948.0,165.0,0.0,165.0,0.0,1.0,0.0,0.0,304.0,0.0,1.0,603.0,0.0,0.0,948.0,0.0,0.0,201.0,1.0,165.0,74.0,0.0,299.0,0.0,603.0,0.0,0.0,0.0,303.0,0.0,1.0,0.0,0.0
